Area,Perimetro,promB,promG,promR,m0,m1,m2,m3,m4,m5,m6,clase
3100.0,379.6467,7506.15,7262.29,7264.65,0.18910296674517646,0.005257386366175896,4.6727541479549284e-05,3.703627860411926e-05,1.9345807973052151e-10,2.0894689957255205e-06,1.5285395598571214e-09,Cocaina
3377.0,236.5097,7575.56,7647.63,7632.14,0.1670586815804807,0.0018596065894116824,4.9555012403422184e-05,1.6836443249528821e-06,-2.974009640906032e-12,-2.8054682785432893e-08,-1.50883845724864e-11,Cocaina
63.5,33.5563,5106.46,5100.45,5088.52,0.19437847099667582,0.008161350114292852,0.0007966072599006895,4.6237751459246464e-05,7.52320022431619e-09,2.86870363856104e-06,-4.706221823159413e-09,Cocaina
3.0,7.6569,10166.6,10987.49,12718.61,0.20576131687347596,0.012616640416993218,0.0015758691525165004,0.00027766296136075524,1.7044255578568684e-07,2.817894899135239e-05,-6.843839740079776e-08,Cocaina
4587.5,277.664,13195.09,12373.71,19545.92,0.16384986508530097,0.0004622910138327098,1.6926446027723456e-05,3.5219893433003044e-07,-6.497664454727585e-13,-6.89917296381882e-09,5.632845278162356e-13,Cocaina
2022.5,274.3503,4944.02,4938.92,4959.8,0.17052936893325207,6.242690800613444e-05,8.66641790142039e-06,1.0569146011789073e-05,-9.638581215819811e-11,-8.236843107414224e-08,-3.0687891399843046e-11,Cocaina
12.5,15.0711,12592.57,12276.83,12988.06,0.21385955555560068,0.017970729769073684,0.00019730649636873177,3.927794554249243e-05,2.9086759716851187e-09,3.1139302824836434e-06,1.8696664949160664e-09,Cocaina
20.5,21.0711,12434.92,12369.09,12168.42,0.22725213569802816,0.019328134745898666,0.003463342582865076,0.0007349588573583824,1.1559173800290475e-06,9.526122883299607e-05,-1.9697084349982862e-07,Cocaina
265.0,137.799,13088.61,12364.03,12461.18,1.0828373862689062,1.1448530539503472,0.006063187015492062,0.004312160217573085,2.199561092548729e-05,0.004214368018690697,-1.5363175693354103e-06,Cocaina
19.5,19.0711,14190.13,14027.51,14056.85,0.19661303947959838,0.009610864330634527,0.001014688978339777,4.798947865189085e-05,5.0821329973043654e-09,1.6519995493700316e-06,-9.290566832597143e-09,Cocaina
5.0,14.8284,9417.61,10960.79,11368.41,0.44977777777778105,0.17379634567892882,0.0013883951070211484,0.00014476185469739574,-6.489896118390204e-08,-6.034960875827759e-05,-1.5655895659316235e-16,Extasis
3158.5,388.3747,5580.71,8597.88,6871.97,0.22013942297818265,4.262551191594333e-05,0.00037860169306602124,1.2445119592167619e-05,-2.4823931283442566e-10,8.103461589267216e-08,8.173963376985262e-10,Extasis
767.5,174.6102,8218.33,8810.36,8894.86,0.5190157061679813,0.23443242278791115,0.0002668365417151842,0.00016424837533921235,3.421968547342869e-08,7.262117618658443e-05,3.371931007787247e-09,Extasis
102.0,39.3137,9462.98,10590.97,10796.24,0.16600858539410238,5.72934529009187e-06,0.0005594457461144788,2.3836228062732675e-06,-6.755230826895391e-11,5.694029944722952e-09,5.4892800722999636e-11,Extasis
4.0,10.8284,11443.27,12206.57,12144.24,0.3745659722221717,0.1114006513429062,0.0017346043984131875,0.00017457092169853868,-9.606342771908e-08,-5.826607586201156e-05,-6.431433262367684e-16,Extasis
55.5,32.7279,7026.44,7865.25,7444.38,0.218782048016672,0.01899948731251246,0.0005658122937521692,0.00012160321106338467,2.6972692985641677e-08,1.3216223144332961e-05,1.702676687000753e-08,Extasis
4939.0,471.2447,10140.28,11083.69,11546.37,0.18590057639890514,0.0005364491674378721,0.0004202043757185522,8.137134451471647e-05,-1.247049398983648e-08,-1.5713230112219856e-06,8.419386101515378e-09,Extasis
3593.0,471.7889,9960.41,9170.72,10376.05,0.20336316284629902,0.0007291894825567581,0.0013155327166987393,0.0002367559773566404,1.1805672960426782e-07,5.440695660021977e-06,5.9338111213405746e-08,Extasis
77.5,35.5563,9729.55,8291.09,9119.04,0.17216540416755446,0.0015234912256889925,0.0007526869249177576,9.975525546033733e-06,8.509374868399034e-10,3.6583858021742466e-07,1.5191890166956852e-10,Extasis
62.0,40.4853,6671.15,7639.27,7624.66,0.37879717121877193,0.11205590298279632,0.00543579656072945,0.00331241835918426,1.4049929551928192e-05,0.001108783947575799,3.991930027156655e-07,Extasis
0.5,3.4142,21145.66,21729.27,22046.39,0.22222222222353594,0.012345679011986372,0.005486968471329853,0.0002194787411527841,-2.4085458782827594e-07,-2.438652679439891e-05,1.1119257964301761e-14,Marihuana
3138.5,321.3208,17513.26,19212.53,19877.89,0.2024963114715055,0.013288817237431659,7.421102676276998e-05,1.871385332513746e-05,6.518575723866972e-10,2.1561624588315324e-06,-2.4787494871000886e-10,Marihuana
31.5,35.5563,15547.99,18783.89,18988.09,0.4299129541424063,0.1373073821895844,0.0056738448267265006,0.0024260923778617765,8.539744189216196e-06,0.0007776713658992222,2.8450158669742175e-06,Marihuana
2805.0,298.5929,16859.94,18140.39,18467.08,0.2510936313982249,0.02813370200989682,0.001817733829171018,0.00012423464186038237,-5.724797474405372e-08,-2.0480199791160907e-05,1.4426223879580242e-08,Marihuana
5.0,9.6569,11736.79,14164.92,14880.38,0.24666666666642417,0.03484444444440824,3.272945896102458e-22,9.8058569083907e-22,5.526128598938928e-43,1.1354239488701576e-22,5.673370920732109e-44,Marihuana
4.0,8.8284,11395.67,13011.72,14379.88,0.19965277777811252,0.008032527970733597,0.002591712649834278,0.00025214217513651755,2.0180335672452593e-07,2.0025223086601176e-05,-2.8650347396503226e-08,Marihuana
1509.5,491.2031,20317.05,22183.21,20935.37,0.2979485652250916,0.004965131149774905,0.0006394668968510667,0.00017003782763945813,-5.445113432721408e-08,-4.64277052200289e-06,1.3374323649191721e-08,Marihuana
113.5,90.8112,20404.24,22036.55,20414.77,0.5484368101764229,0.03433010522415407,0.11875324747739585,0.018058409653575375,-0.0007058598534174281,-0.0030340293839693096,-0.00044843597867292586,Marihuana
1597.0,305.0782,20572.66,22497.99,21225.28,0.2158346310298293,0.0037595538809810365,1.0380911948977619e-05,0.00023010044123484573,1.0921730516833864e-08,1.4075486184566151e-05,-2.6806533641020882e-09,Marihuana
3.5,11.0711,9297.02,9254.26,9327.06,0.44379656624606667,0.13819900983987188,0.024787604244116593,0.005691702791687179,3.9790985777851014e-05,0.000717684635947724,-5.465483472032747e-05,Metanfetamina
15.5,23.5563,17405.92,16566.72,16293.12,0.4679936893692803,0.18623467458294346,0.008980687826799992,0.00601689837919576,4.4178037861049124e-05,0.0025787644934433503,-2.136755656009528e-06,Metanfetamina
3361.0,314.9949,7520.39,7232.25,7180.01,0.20239418729602535,0.0023169611354583873,0.005119610156435672,6.545339605148861e-05,-3.5424642179638456e-08,-2.4803779383600155e-06,-1.3442273471118218e-08,Metanfetamina
5793.5,448.3158,13314.4,13485.37,19130.86,0.16898978271903817,0.0004871067716378663,0.00027989255627135673,4.565357953796918e-06,-7.191300475319024e-11,-7.217460921016249e-08,-1.4649662097138867e-10,Metanfetamina
